# S5-a photos_cleanup 全链轮 1  @ 2026-09-25T01:18:37+08:00  serial=emulator-5554
09-24 17:19:39.355  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=8 type=click value={"resource_id":"com.google.android.apps.photos:id/confirmation_button"}
09-24 17:19:39.355  4190  4190 I AnytouchRun: S3SMOKE-TASK [{"action_id":"open_drawer","type":"click","target":null,"value":{"content_desc":"Show Navigation Drawer"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_drawer","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"open_trash","type":"click","target":null,"value":{"text":"Trash"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_trash","type":"wait","target":null,"value":{"ms":1500},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"trash_overflow","type":"click","target":null,"value":{"content_desc":"More options"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_menu","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"tap_empty_trash","type":"click","target":null,"value":{"text":"Empty trash"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_confirm","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"tap_delete_permanently","type":"click","target":null,"value":{"resource_id":"com.google.android.apps.photos:id/confirmation_button"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}}]
09-24 17:19:39.355  4190  4190 I AnytouchRun: S5SMOKE template load ok id=photos_cleanup via=adb_inject steps=9 replaced=5 verification=STRUCTURAL_ONLY
09-24 17:19:45.602  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:19:45.607  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:19:51.550  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:52.628  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:54.903  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageButton/Show Navigation Drawer/Show Navigation Drawer src=android.widget.ImageButton/null/Hide Navigation Drawer id=null
09-24 17:19:55.308  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/navigation_items
09-24 17:19:55.342  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/navigation_items delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:19:56.586  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.LinearLayout/Trash/null src=android.widget.LinearLayout/null/null id=null
09-24 17:19:57.122  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=2/句柄子树): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:19:57.126  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/句柄子树): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:19:57.129  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=2/事件拷贝): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:19:57.131  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/事件拷贝): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:19:57.139  4190  4190 W AnytouchRun: S2SMOKE path unprovable: src=android.widget.LinearLayout(null,null)kids=2pkg=com.google.android.apps.photostext=null evt=android.widget.LinearLayout/[Trash]/null walkDepth=10 roots=android.widget.FrameLayout(7759,null)kids=2pkg=com.google.android.apps.photostext=null
09-24 17:19:57.227  4190  4190 I AnytouchRun: S2SMOKE path=chain-unanchored(仅作去抖/折叠键，回放定位走线索): [0, 0, 0, 0, 0, 1, 0, 0, 1, 1] id=null text=Trash desc=null
09-24 17:19:57.265  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:19:57.297  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:19:58.934  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.FrameLayout/More options/null src=android.widget.FrameLayout/null/null id=com.google.android.apps.photos:id/action_bar_overflow
09-24 17:19:59.025  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=1/句柄子树): want=[] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:19:59.027  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/句柄子树): want=[] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:19:59.033  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=1/事件拷贝): want=[More options] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:19:59.034  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/事件拷贝): want=[More options] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:19:59.047  4190  4190 W AnytouchRun: S2SMOKE path unprovable: src=android.widget.FrameLayout(null,null)kids=1pkg=com.google.android.apps.photostext=null evt=android.widget.FrameLayout/[More options]/null walkDepth=11 roots=android.widget.FrameLayout(7760,null)kids=1pkg=com.google.android.apps.photostext=null
09-24 17:19:59.096  4190  4190 I AnytouchRun: S2SMOKE path=chain-unanchored(仅作去抖/折叠键，回放定位走线索): [0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 1] id=com.google.android.apps.photos:id/action_bar_overflow text=null desc=More options
09-24 17:19:59.101  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.widget.ListView/null/null src=android.widget.ListView/null/null id=null
09-24 17:19:59.102  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=null delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:20:02.764  4190  4190 I AnytouchRun: S1SMOKE ok=9 total=9 stopped=false stop=-
09-24 17:20:04.274  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:20:04.292  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
